Id,SalePrice
1461,121072.63260193405
1462,157777.03679176117
1463,182184.3806254948
1464,185154.72239354465
1465,193286.34785323392
1466,179140.69324439214
1467,168567.5277307706
1468,170769.69398014224
1469,189908.20684784016
1470,124714.37537563789
1471,193605.1537305793
1472,93609.98240445182
1473,96044.33396380904
1474,159198.7588250105
1475,127076.13336620068
1476,377833.21457183344
1477,239615.3178686052
1478,300605.9623820023
1479,279696.8533039086
1480,471991.0386614151
1481,292296.89995873056
1482,197485.98260484755
1483,167400.54547381622
1484,167388.17524653568
1485,169848.99425987352
1486,190212.42478927792
1487,334847.2764123234
1488,237052.41609590207
1489,206983.22577053588
1490,204968.8608951649
1491,191708.0586330153
1492,98317.35420269103
1493,161785.59766877713
1494,302353.047578626
1495,288046.05274904653
1496,214965.1001994509
1497,188791.77588125848
1498,163717.31161667246
1499,160720.38991024953
1500,149864.3231262168
1501,177002.59706110912
1502,140613.94161114056
1503,251372.32171944494
1504,236754.8659547962
1505,215741.66287576302
1506,176182.88755340414
1507,227570.02034603467
1508,190736.42196065502
1509,158642.66604591304
1510,151455.4817557973
1511,149650.33053671801
1512,171977.6906161068
1513,144005.68384701587
1514,163068.37864301648
1515,202722.3390470992
1516,161332.09079956732
1517,155848.79454054259
1518,133119.70576825156
1519,225383.07115793493
1520,140255.32444050768
1521,141837.43317788595
1522,160098.94455179054
1523,111423.2340274149
1524,116192.13808903478
1525,114837.27638853026
1526,124055.36176932308
1527,111757.42589243589
1528,130017.53463250725
1529,149285.9768580263
1530,169598.72350369766
1531,115048.86649177392
1532,89191.85534516322
1533,138447.05113795606
1534,112280.45803262666
1535,159337.82302533416
1536,120960.33027121205
1537,75671.42896638055
1538,155846.55473017847
1539,186026.5794098485
1540,101779.4068890024
1541,149549.86113644854
1542,137345.41513139088
1543,226112.05664880402
1544,92036.73750127447
1545,107889.29299613563
1546,128882.4239963496
1547,142817.83212757442
1548,129537.69439382963
1549,112808.65243943063
1550,146721.0051311138
1551,110851.49890364708
1552,138446.43605802534
1553,141543.13126373172
1554,115290.9577937332
1555,174634.70325646375
1556,84526.32422993807
1557,105160.55661162364
1558,96779.29378460816
1559,94923.58789904744
1560,139671.24607423076
1561,115266.10588914371
1562,131483.66447624992
1563,126305.08005667305
1564,152944.46698876517
1565,149794.7546414245
1566,229930.32038876222
1567,87592.68381543452
1568,214205.37875705695
1569,124291.14525637306
1570,136437.2670712044
1571,119436.12241252183
1572,152313.18893304403
1573,255023.97304775508
1574,114587.95311934041
1575,235745.156103799
1576,213428.18990670363
1577,199648.03931752685
1578,150832.12886610767
1579,139455.33331149584
1580,191139.68848199095
1581,148880.6567573175
1582,126832.47328149702
1583,318089.82407991815
1584,232265.6847694841
1585,141519.5565613191
1586,76581.35156931696
1587,104085.9775355195
1588,155210.77164167247
1589,114172.46900510362
1590,131309.5988683903
1591,96905.71435128522
1592,125411.14440295284
1593,119743.87903555807
1594,126626.3332827003
1595,106276.26679928845
1596,250182.27455971204
1597,171074.25761700136
1598,189013.41169853666
1599,183185.776325773
1600,190087.43166812015
1601,75717.1359088749
1602,115993.65282874258
1603,78778.39017679503
1604,312700.47233045317
1605,250741.392269114
1606,164558.72863001993
1607,163388.4793016018
1608,202759.61905098183
1609,191974.15325478272
1610,152985.6563077827
1611,143903.77525770012
1612,161723.98598580787
1613,156135.7033082151
1614,120037.23966500435
1615,91642.40081090934
1616,81224.38246547358
1617,85771.63363358371
1618,126496.01827431504
1619,140156.70287835872
1620,137681.26526895983
1621,143098.60390399242
1622,139437.21860317062
1623,292647.79513018444
1624,210730.82122267797
1625,112371.50685120876
1626,164734.9614096297
1627,184270.56346032862
1628,271686.2478994733
1629,175852.80686506873
1630,311300.5780917879
1631,203336.80368827053
1632,236031.96862283596
1633,167203.9532059153
1634,176795.17325147733
1635,180137.1157859395
1636,155821.43965587742
1637,187901.4235095878
1638,203417.2506772339
1639,174927.9768889512
1640,257551.88982933565
1641,170683.5571290506
1642,241360.5866585703
1643,234675.3777398948
1644,227881.2404350072
1645,190699.90851079952
1646,157093.9275068564
1647,161279.53368860797
1648,141990.28994707033
1649,141003.11542512866
1650,121767.125770958
1651,129753.67725679552
1652,94557.332290361
1653,90798.75872084389
1654,158859.42706876513
1655,159997.15042794705
1656,156487.4857644266
1657,157452.39267167583
1658,159446.9738806486
1659,142415.92538797337
1660,158970.9463639065
1661,457564.39821108204
1662,418289.16067307675
1663,388814.26510904706
1664,445200.0826346041
1665,325719.6564322008
1666,338363.9333700827
1667,380434.0730376757
1668,330743.01669318473
1669,262420.24883428816
1670,352444.1239637831
1671,280900.81194767857
1672,459587.7906111815
1673,296493.37992593826
1674,247553.1630066339
1675,171567.07601397624
1676,181617.65816791245
1677,206336.3515242691
1678,451634.7958002192
1679,398825.3220168554
1680,323034.3365904526
1681,232994.15036189414
1682,303673.56585957645
1683,169416.7713942157
1684,172214.18886232522
1685,171974.56263715512
1686,165321.78696745154
1687,162045.43814253304
1688,187323.10304526967
1689,187988.59355951232
1690,192168.5019639243
1691,176215.8636789701
1692,249494.10885510253
1693,167047.70988019113
1694,179072.583109045
1695,165738.48675684258
1696,278429.18881679076
1697,164296.85375568052
1698,350376.11604708567
1699,292522.65504950844
1700,240633.8423082421
1701,280027.55229289684
1702,253485.7072752833
1703,269228.2624401394
1704,290572.1165992056
1705,218243.81067030045
1706,424786.14778014226
1707,205395.36903307197
1708,202789.56561536045
